"Registered CustomerID Pre Number","Regisztrált vásárló előtét száma"
"Guest CustomerID Pre Number","Vendég vásárló előtét száma"
"Shipping account code","Szállítás tételkódja"
"COD account code","Utánvét tételkódja"
"Discount account code","Kedvezmény tételkódja"
"Bank Payment in Office code","Bankfiókban befizetés tételkódja"
"Ledger Hostname","Ledger hosztnév"
"Ledger Context","Ledger kontext"
"Ledger Server Timeout (minute)","Ledger szerver időtúllépése (perc)"
"Ledger Username","Ledger felhasználónév"
"Ledger Password","Ledger jelszó"
"Ledger User Agent","Ledger böngésző sztring"
"Ledger DB Username","Ledger DB felhasználónév"
"Ledger DB Password","Ledger DB jelszó"
"Ledger DB Name","Ledger DB név"
"Ledger DB Host Name/IP","Ledger DB hosztnév/IP"
"Ledger DB Port","Ledger DB port"
"Temporary directory","Átmeneti könyvtár"
"Debug directory","Könyvtár a hibakereséshez"
"Enable manual import", "Kézi importálás engedélyezése"
"Import registered customers only", "Csak a regisztrált vásárlók importálása"
"COD due time", "Utánvétel esedékesség"
"COD trans time", "Utánvétel teljesítés"
"Bankcard payments", "Bankkártyás fizetések"
"Characterset", "Kódlap"
"Bank trans date","Átutalás/kártyás fizetés teljesítése"
"Bank trans date (YYYY-MM-DD)","Teljesítés napja (ÉÉÉÉ-HH-NN)"
"Bank due date (YYYY-MM-DD)","Esedékesség napja (ÉÉÉÉ-HH-NN)"
"Import e-mail", "E-mail cím importálása"
"Import phone and fax number", "Telefonszám és faxszám importálása"
